date,tweet,sentiment,saham
"2019-01-13","Waktu awal-awal dulu sih ngambil patokan dari sini http:// strategimanajemen.net/2018/01/15/per ingkat-kenaikan-harga-10-saham-terbaik-indonesia-sepanjang-masa/ … Secara garis besar sih cocok diambil semua kalo emang modalnya ada, kalo ga cukup bisa ambil yang harganya masih murah2 aja kaya KLBF HMSP BBRI TLKM sisa nya bisa ambil ASII / INDF","","bbri"
"2019-01-14","Pelayanan yg buruk juga menjadi pertimbanganku buat menjual saham BBRI. Namanya juga perusahaan dgn tulisan Tbk. di belakangnya, siap ya dinilai publik. Handle customer kok sekenanya gini.","","bbri"
"2019-01-14","Leading Movers: BBRI, TELE, PNBN, MNCN, TOPS. Lagging Movers: HMSP, UNTR, BBCA, ASII, TPIA. #MarketReview","","bbri"
"2019-01-14","Top foreign net buy: TLKM, BMRI, BBCA, BBNI, ASII. Top foreign net sell: BBRI, SMMA, BNLI, CPIN, CTRA. #DailyReport","","bbri"
"2019-01-15","Direktur Utama @BANKBRI_ID (BBRI) Suprajarto berharap @bank_indonesia tidak lagi menaikkan tingkat suku bunga acuannya. Meskipun ada penyesuaian suku bunga, ia memperkirakan itu hanya satu kali di tahun ini. https:// cnbcindonesia.com/market/2019011 5172900-17-50801/bos-bri-berharap-bi-tidak-lagi-kerek-bunga-acuan?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed …","","bbri"
"2019-01-15","Sudah ada yang tahu kemana arah pergerakan perusahaan berkode saham BBRI hari ini? http:// bit.ly/2FqBmpv","","bbri"
"2019-01-15","[BERITA] Aksi Beli Meningkat, ke Mana Arah Saham BBRI? - BRI berhasil menyalurkan KUR senilai Rp80,2 triliun http:// bit.ly/2SZC1l2","","bbri"
"2019-01-15","Aksi Beli Meningkat, ke Mana Arah Saham BBRI? https:// goo.gl/xqCwqW","","bbri"
"2019-01-15","Investment news; Finance sektor IDR1,204.36 B BBTN: IDR2,740 (0.37%) BBRI: IDR3,790 (1.61%) BMRI: IDR7,700 (0.00%) BBNI: IDR8,875 (-0.56%) BNLI: IDR670 (1.52%) BNGA: IDR1,100 (-2.22%) BTPN: IDR3,650 (-0.27%) BBCA: IDR26,000 (-0.95%)","","bbri"
"2019-01-15","AALI PTSN PNBN PNLF ESSA BBRI MNCN TBIG ISAT HOKI #saham #watchlist IDX 15JAN2019 http:// youtu.be/65GdcK-nAPs?a","","bbri"
